letter,term,definition,acronym
P,Pain Point,A specific problem or frustration that users experience,
P,Pairing,Collaborative work between designers and developers,
P,Paper Prototype,A low-fidelity prototype made with paper and other physical materials,
P,Paradox of Choice,The difficulty of making decisions when faced with too many options,
P,Paradox of Specificity,The challenge of being specific enough to be useful but general enough to be applicable,
P,Parent-child,A hierarchical relationship between elements where one contains another,
P,Pattern Matching,The process of recognizing familiar patterns in new situations,
P,Patterns,Reusable solutions to common design problems,
P,Permissions,Access rights that determine what users can do within a system,
P,Persona,A fictional character representing a segment of your target audience,
P,Personalization,Customizing experiences based on individual user preferences and behavior,
P,Persuasion,Technique to subtly influence users towards desired actions or decisions without coercion,
P,Persuasive Design,Design that influences user behavior and decision-making,
P,PET Design,"A design framework using persuasion, emotion and trust",
P,Phishing,Fraudulent attempts to obtain sensitive information by impersonating trustworthy entities,
P,Photoshop,Adobe's raster graphics editing software,
P,Pill,"A UI element with rounded ends, often used for tags or buttons",
P,Pilot Test,A small-scale preliminary study to test research methods,
P,Pixel,The smallest unit of a digital image,
P,PNG,"Portable Network Graphics, a raster image format supporting transparency",PNG
P,Popover,A small overlay that appears when users interact with an element,
P,Popup,A window that appears on top of the main interface,
P,Portable Network Graphic,A raster image format supporting transparency,PNG
P,Portfolio,A collection of work samples that demonstrate skills and experience,
P,Portrait Display,Screen orientation that is taller than it is wide,
P,Post-task Survey,A questionnaire completed after users finish a specific task,
P,Post-test Survey,A questionnaire completed after a usability testing session,
P,Pre-test Survey,A questionnaire completed before a usability testing session,
P,Preference Test,Research method to determine which design users prefer,
P,Primary Colors,The basic colors that cannot be created by mixing other colors,
P,Priming,Exposing users to certain stimuli to influence their subsequent behavior,
P,Prioritization,The process of ranking items by importance or urgency,
P,Problem Definition,Clearly articulating the problem that needs to be solved,
P,Problem Statement,A concise description of an issue that needs to be addressed,
P,Process Map,A visual representation of the steps in a process,
P,Product Adoption,The process by which users start using a new product,
P,Product Decline,The stage in a product lifecycle where demand decreases,
P,Product Design,The process of creating products that solve user problems,
P,Product Discovery,The process of learning what products to build,
P,Product Growth,The stage where a product gains market acceptance and usage increases,
P,Product Lifecycle,The stages a product goes through from introduction to decline,
P,Product Manager,A professional responsible for the strategy and roadmap of a product,PM
P,Product Market Fit,The degree to which a product satisfies strong market demand,PMF
P,Product Maturity,The stage where a product has established market presence,
P,Product Requirements,Specifications that define what a product should do,
P,Product Roadmap,A strategic plan that outlines product development over time,
P,Product Vision,A long-term goal that describes the purpose and direction of a product,
P,Product-led Growth,A business strategy where the product itself drives customer acquisition,PLG
P,Program Manager,A professional who manages multiple related projects,
P,Progress Indicator,A visual element that shows the completion status of a process,
P,Progressive Disclosure,Revealing information gradually to avoid overwhelming users,
P,Progressive Enhancement,Building web pages that work for everyone and enhance for capable browsers,
P,Progressive Web App,A web application that uses modern web capabilities to deliver native app-like experiences to users,PWA
P,Project Manager,A professional responsible for planning and executing projects,
P,Prototype,An early model of a product used to test concepts and functionality,
P,Prototype Test,Testing a prototype with users to gather feedback and insights,
P,Pull Request,A method of submitting code changes for review before merging,PR
Q,Qualitative User Research,Research that focuses on understanding user behaviors and motivations,
Q,Qualtrics,A platform for creating and distributing surveys and collecting data,
Q,Quantitative User Research,Research that focuses on measuring and quantifying user behaviors,
R,RACI,"A matrix that defines roles and responsibilities: Responsible, Accountable, Consulted, Informed",RACI
R,Radio Button,A UI control that allows users to select one option from a group,
R,Radio Group,A collection of radio buttons where only one can be selected,
R,Rainstorming,A brainstorming technique that focuses on generating ideas without criticism,
R,Randomization,The process of randomly assigning participants to different groups in research,
R,Rapid Prototyping,Quickly creating prototypes to test ideas and gather feedback,
R,Rating Scale,A tool for measuring opinions or attitudes on a numerical scale,
R,React,A JavaScript library for building user interfaces,
R,Readability,How easy it is to read and understand text,
R,Reader,Adobe's software for viewing PDF documents,
R,Reading Line Length,The optimal width of text lines for comfortable reading,
R,Recency Bias,The tendency to give more weight to recent events or information,
R,Redlining,The process of marking up designs with specifications for development,
R,Refactoring,Restructuring existing code without changing its external behavior,
R,Refinement,The agile practice of adding detail and estimates to backlog items,
R,Remote Testing,Usability testing conducted with participants in different locations,
R,Repository,"A storage location for code, documents, or research data",
R,Requirements,Specifications that define what a system should do,
R,Requirements Gathering,The process of collecting and documenting system requirements,
R,Research Incentives,Compensation given to research participants,
R,Research Operations,The practice of streamlining research processes and tools,ResearchOps
R,Research Plan,A document outlining the objectives and methods for a research study,
R,Research Strategy,A high-level approach to conducting research,
R,Resizable,Elements that can be adjusted in size by users,
R,Response Time,The time it takes for a system to respond to user input,
R,Responsive Breakpoints,Specific screen widths where responsive designs change their layout to accommodate different devices,
R,Responsive Design,Design that adapts to different screen sizes and devices,
R,Retention,The ability to keep users engaged with a product over time,
R,Return on Investment,A metric used to measure the profitability of an investment relative to its cost,ROI
R,Reverse Prototype,A prototype that demonstrates what not to do,
R,RGB/RGBA,"Red, Green, Blue color model, with optional Alpha channel for transparency",RGB
R,RICE Method,"A prioritization framework: Reach, Impact, Confidence, Effort",RICE
R,Right-aligned,Text alignment where text is aligned to the right margin,
R,Roadmap,A strategic plan showing the direction and progress of a product,
R,Rowspan,An HTML attribute specifying how many rows a table cell should span,
S,Sample Size,The number of participants in a research study,
S,Scannability,How easily users can quickly scan and understand content,
S,Scenario,A narrative describing how users might interact with a product,
S,Screen Flow,The sequence of screens users navigate through in an application,
S,Screen Reader,Assistive technology that reads screen content aloud for users with visual impairments,
S,Screener,A survey used to identify qualified research participants,
S,Scroll Area,A region where content can be scrolled to view additional information,
S,Scrolling,Moving through content that extends beyond the visible area,
S,Scrum,An agile framework for managing product development,
S,Search,The function that allows users to find specific content or information,
S,Search Filter,Options that narrow down search results based on criteria,
S,Secondary Colors,Colors created by mixing two primary colors,
S,Segmentation,Dividing users into groups based on shared characteristics,
S,Select,A dropdown menu that allows users to choose from a list of options,
S,Selective Attention,The tendency to focus on certain information while ignoring other information,
S,Sentence Case,Capitalization where only the first word and proper nouns are capitalized,
S,SEO,"Search Engine Optimization, improving visibility in search results",SEO
S,Separator,A visual element that divides content into distinct sections,
S,Server-side,Operations that occur on the server rather than the user's device,
S,Service Blueprint,A diagram that visualizes the relationships between service components,
S,Shade Colors,Colors created by adding black to a pure color,
S,Sitemap,A visual representation of a website's structure and organization,
S,Skeleton,A placeholder that shows the structure of content while it loads,
S,Sketch,A digital design tool for creating user interfaces,
S,Sketching,"The practice of creating quick, rough drawings to explore ideas",
S,Skeuomorphism,Design that mimics real-world objects and materials,
S,Skip Navigation,A link that allows users to bypass repetitive navigation elements,
S,Slack,A messaging platform for team communication and collaboration,
S,Slider,A UI control that allows users to select a value from a range,
S,Smart TV,A television with integrated internet and interactive features,
S,Software,Computer programs and applications,
S,Software as a Service,Cloud-based software delivery model,SaaS
S,Software Development Kit,Tools for building applications,SDK
S,Sort Ascending,Arranging data from lowest to highest value,
S,Sort Descending,Arranging data from highest to lowest value,
S,Sorting Data,Organizing information in a particular order,
S,Spam,Unwanted or unsolicited electronic messages,
S,Split Button,A button with a primary action and a dropdown for additional options,
S,Split Complementary Colors,A color scheme using one color and the two colors adjacent to its complement,
S,Sprint,A time-boxed iteration in agile development,
S,Square Colors,A color scheme using four colors evenly spaced around the color wheel,
S,Stakeholder,Anyone with an interest in or influence on a project,
S,Stakeholder Management,The practice of effectively working with and managing relationships with all project stakeholders,
S,Standard Deviation,A measure of how spread out data points are from the average,
S,Statistical Analysis,The process of collecting and analyzing data to identify patterns,
S,Statistical Significance,The likelihood that a result is not due to chance,
S,Story Mapping,A visual exercise that helps teams understand user journeys,
S,Storyboard,A sequence of drawings that outline the steps in a user journey,
S,Style Guide,A document that outlines design standards and guidelines,
S,Subscription Revenue Model,A business model where customers pay recurring fees,
S,Summative Testing,Testing conducted after development to evaluate final performance,
S,Survey,A research method using questionnaires to collect data from users,
S,SUS,"System Usability Scale, a standardized questionnaire for measuring usability",SUS
S,SVG,"Scalable Vector Graphics, a vector image format for web graphics",SVG
S,Switch,A UI control that toggles between two states,
S,SWOT Analysis,"A strategic planning technique: Strengths, Weaknesses, Opportunities, Threats",SWOT
S,Syntactically Awesome Style Sheets,A preprocessor scripting language that is interpreted or compiled into CSS,SASS
T,Tab,A UI element that allows users to switch between different views or sections,
T,Table,A structured arrangement of data in rows and columns,
T,Table Footer,"The bottom section of a table, often containing summary information",
T,Tablet,A portable computer with a touchscreen interface,
T,Tabular Numbers,Numbers designed to align vertically in tables and lists,
T,Tag,A label that categorizes or describes content,
T,Target Market,The specific group of customers a product is designed for,
T,Task Analysis,Breaking down user goals into specific actions and steps,
T,Task Completion Time,The amount of time it takes users to complete a specific task,
T,Task Flow,The sequence of steps users take to complete a specific task,
T,Taxonomy,A system for organizing and categorizing information,
T,Technical Debt,The cost of additional work caused by choosing quick solutions over better approaches,
T,Terabyte,"A unit of digital information equal to 1,024 gigabytes",TB
T,Test Marketing,Testing a product with a limited audience before full launch,
T,Text Area,A multi-line input field for entering longer text,
T,Text Box,A single-line input field for entering text,
T,Theming,The process of applying consistent visual styles across an interface,
T,Think-aloud Protocol,A usability testing method where participants verbalize their thoughts,
T,Think-aloud Protocol,A usability testing method where participants verbalize their thoughts and decision-making process while using a product,
T,Third Party Sign In,Authentication using credentials from another service,
T,Three Clicks,The principle that users should be able to find information within three clicks,
T,Time on Task,The amount of time users spend completing a specific task,
T,Time Picker,A UI component for selecting time values,
T,Time to Value,The time it takes for users to realize value from a product,TTV
T,Toast,A brief message that appears temporarily to provide feedback,
T,Toggle Button,A button that switches between two states when clicked,
T,Toggle Group,A set of toggle buttons where multiple can be selected,
T,Toggle Switch,A UI control that switches between on and off states,
T,Tooltip,A small popup that provides additional information about an element,
T,Total Addressable Market,The total market demand for a product or service,TAM
T,Tree Testing,A usability technique for evaluating the findability of topics in a website,
T,Triad Colors,A color scheme using three colors evenly spaced around the color wheel,
T,Tribalism,The tendency for people to form groups and favor their own group,
T,Truncate,To shorten text or data by cutting off characters at a specified length,
T,Typography,The art and technique of arranging type to make written language readable,
U,UI,User interface,UI
U,UI Component,A reusable element of a user interface,
U,UI Design,"User Interface Design, the design of user interfaces for software",
U,UI Element,An individual part of a user interface,
U,UI Kit,A collection of pre-designed user interface components,
U,UI Pattern,A reusable solution for common interface design problems,
U,UI Template,A pre-designed layout that can be customized for specific needs,
U,Unit Testing,Testing individual components of software in isolation,
U,Unmoderated Testing,Usability testing conducted without a facilitator present,
U,Uppercase,Text written in capital letters,
U,Usability,How easy and pleasant a product is to use,
U,Usability Evaluation,The process of assessing how usable a product is,
U,Usability Heuristics,A set of general principles for user interface design,
U,Usability Lab,A controlled environment for conducting usability testing,
U,Usability Metrics,Quantitative measures of usability performance,
U,Usability Test Plan,A document outlining the objectives and methods for usability testing,
U,Usability Test Report,A document summarizing findings from usability testing,
U,Usability Testing,Evaluating a product by testing it with representative users,
U,User Acceptance Testing,Testing to determine if a system meets business requirements,UAT
U,User Delight,Positive emotional responses that exceed user expectations,
U,User Engagement,The level of involvement and interaction users have with a product,
U,User Experience,The overall experience a person has when using a product,UX
U,User Feedback,Information provided by users about their experience with a product,
U,User Flow,The path taken by users to complete a task in an application,
U,User Groups,Collections of users with similar characteristics or needs,
U,User Insights,"Understanding gained about user behaviors, needs, and motivations",
U,User Interactions,The ways users engage with and manipulate interface elements,
U,User Interface,The means by which users interact with a computer or application,UI
U,User Interface Design,The design of user interfaces for machines and software,
U,User Journey,The complete experience a user has with a product over time,
U,User Journey Map,A visual representation of the user's experience across touchpoints,
U,User Research,The systematic study of target users to understand their needs and behaviors,
U,User Satisfaction,How pleased users are with their experience using a product,
U,User Scenario,A narrative describing how a user might interact with a product,
U,User Stories,Short descriptions of features from the user's perspective,
U,User Testing,Evaluating a product by observing real users as they attempt to use it,
U,User Testing Script,A guide for conducting consistent user testing sessions,
U,User-centered Design,A design approach that focuses on users' needs throughout the design process,UCD
U,User-initiated Triggers,Actions that users take to start a process or interaction,
U,UX Audit,A systematic evaluation of a product's user experience,
U,UX Debt,The accumulated usability problems that need to be addressed,
U,UX Deliverables,The outputs and artifacts produced during the UX design process,
U,UX Design,"User Experience Design, the process of creating meaningful user experiences",
U,UX Documentation,Written materials that explain UX decisions and guidelines,
U,UX Strategy,A plan for achieving business goals through great user experiences,
U,UX Writing,The practice of writing copy that guides users through a product,
V,Value Proposition,A statement that explains the benefit a product provides to customers,
V,Variant,A different version of a design component or element,
V,Viability,The ability of a solution to be successful and sustainable,
V,Video Player,A software component for playing video content,
V,Virtual Reality,"Technology that creates immersive, computer-generated environments",VR
V,Visual Attention,The cognitive process of selectively concentrating on visual information,
V,Visual Design,"The use of imagery, color, shapes, typography, and form to enhance usability",
V,Vlog,A blog that contains video content,
V,Voice of Customer,Direct feedback and insights from customers about their experiences,VOC
V,Voice User Interface,An interface that allows users to interact through voice commands,VUI
W,W3C,"World Wide Web Consortium, the organization that develops web standards",W3C
W,Waterfall,A sequential development methodology where each phase must be completed before the next,
W,Wayfinding,The process of using spatial and environmental information to navigate,
W,WCAG,"Web Content Accessibility Guidelines, standards for web accessibility",WCAG
W,Wearable Technology,Electronic devices that can be worn on the body,
W,Web Accessibility Initiative,W3C's effort to improve web accessibility,WAI
W,Web Application,A software application that runs in a web browser,
W,Web Page,A document that is part of a website and can be displayed in a web browser,
W,Website,A collection of related web pages under a single domain name,
W,White Space,Empty space around and between elements in a design,
W,Whiteboard Challenge,A design exercise where candidates solve problems on a whiteboard,
W,Whiteboarding,"Using a whiteboard to brainstorm, plan, or explain ideas",
W,Widget,A small application or component that performs a specific function,
W,Wireframe,A basic structural blueprint showing the layout of a webpage or app,
W,Wizard,A step-by-step interface that guides users through a complex process,
W,Wizard-of-Oz Testing,Testing where a human secretly provides responses that appear to come from a computer,
W,Word Cloud,A visual representation of text where word size indicates frequency or importance,
W,Worst Idea,A brainstorming technique where participants intentionally generate bad ideas,
X,X-axis,The horizontal axis in a coordinate system or data visualization that typically represents the independent variable or categories,
Y,Y-axis,The vertical axis in a coordinate system or data visualization that typically represents the dependent variable or measured values,
Z,Z-axis,The depth axis in a three-dimensional coordinate system that represents the third dimension perpendicular to both X and Y axes,
Z,Z-fold,A paper folding technique where the document is folded in a zigzag pattern creating multiple panels that stack on top of each other,
Z,Z-height,The perceived elevation or depth of an element in a user interface design system that determines its visual hierarchy and shadow effects,
Z,Zeplin,A design-collaboration platform assisting teams in crafting visually captivating products,
Z,Zip Disk,A removable storage medium that was popular in the 1990s for backing up and transferring files between computers,
Z,Zoom,Interactive navigation control that lets users magnify content.,
